Row15|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/f40ee383-13f4-486f-af94-c8e4b79ab9e8.jpg?width=500&amp;sharp=1|Chambao|https://guide.michelin.com//de/de/baden-wurttemberg/heidelberg/restaurant/chambao|Heidelberg|Kreativ, Kreativ|49.4134667|8.7077045
Row16|1|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/2a898996-2cbf-4dda-b91f-076a8a7b7e63.JPG?width=500&amp;sharp=1|Rebers Pflug|https://guide.michelin.com//de/de/baden-wurttemberg/de-schwbisch-hall/restaurant/rebers-pflug|Schwäbisch Hall|Marktküche|49.1231087|9.7570558
Row17|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/64a18ec9-ca90-4f8b-9118-3512313d1486.jpg?width=500&amp;sharp=1|Park-Restaurant Vogelherd|https://guide.michelin.com//de/de/sachsen-anhalt/zerbst/restaurant/park-restaurant-vogelherd|Zerbst|Marktküche|51.995772|12.086178
Row18|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/39df4917-4063-4dfc-a2ae-07db34f65386.jpg?width=500&amp;sharp=1|Handwerk|https://guide.michelin.com//de/de/niedersachsen/hannover/restaurant/handwerk|Hannover|Moderne Küche, Moderne Küche|52.3569199|9.764064
Row19|1|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/9295e992-3624-4248-bf2f-7ec08b8a4433.JPG?width=500&amp;sharp=1|Atelier Sanssouci|https://guide.michelin.com//de/de/sachsen/radebeul/restaurant/atelier-sanssouci|Radebeul|Klassische Küche, Klassische Küche|51.1086096|13.6753756
Row20|0|https://d3h1lg3ksw6i6b.cloudfront.net/guide/placeholder/online_list_default_1.jpg|Kölbl|https://guide.michelin.com//de/de/rheinland-pfalz/enkenbach-alsenborn/restaurant/kolbl|Enkenbach-Alsenborn|International|49.4883713|7.8995789
Row21|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/756ad255-ecf8-433d-aefd-2a64afca18a5.jpg?width=500&amp;sharp=1|Vinaiolo|https://guide.michelin.com//de/de/bayern/mnchen/restaurant/vinaiolo|München|Italienisch|48.1312236|11.5960025
Row22|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/17bcb3c3-d72e-455b-9274-5f3e8956a290.jpg?width=500&amp;sharp=1|Trüffelschwein|https://guide.michelin.com//de/de/hamburg-region/hamburg/restaurant/truffelschwein|Hamburg|Moderne Küche, Moderne Küche|53.5834826|10.0099337
Row23|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/50d5ead2-4ea3-42c9-85cb-1a8ae259fe3d.jpg?width=500&amp;sharp=1|Brasserie Stadthaus|https://guide.michelin.com//de/de/nordrhein-westfalen/dusseldorf/restaurant/brasserie-stadthaus|Düsseldorf|Französisch-klassisch|51.2275303|6.7742461
Row24|2|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/19a9178d-7e89-43cd-8d6c-0097729e64e5.jpg?width=500&amp;sharp=1|Lorenz Adlon Esszimmer|https://guide.michelin.com//de/de/berlin-region/berlin/restaurant/lorenz-adlon-esszimmer|Berlin|Kreativ|52.5161692|13.3801193
Row25|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/34968e8f-7c73-4730-8b81-e52c8c2952d9.jpg?width=500&amp;sharp=1|Schweizer Wirt|https://guide.michelin.com//de/de/bayern/lenggries/restaurant/schweizer-wirt|Lenggries|Regional, Regional|47.7077629|11.5558762
Row26|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/81ec4eb3-bd5e-409d-aaca-c17ba7da14ee.JPG?width=500&amp;sharp=1|Goldener Hahn|https://guide.michelin.com//de/de/brandenburg/finsterwalde/restaurant/goldener-hahn|Finsterwalde|Saisonal, Saisonal|51.6360121|13.7089997
Row27|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/8354a6e9-933a-4b9d-982a-b6304b331d5a.jpg?width=500&amp;sharp=1|Henrich HÖER's Speisezimmer|https://guide.michelin.com//de/de/hessen/idstein/restaurant/henrich-hoer-s-speisezimmer|Idstein|Klassische Küche|50.219769|8.2713257
Row28|0|https://d3h1lg3ksw6i6b.cloudfront.net/guide/placeholder/pic_poilist_default_9.jpg|Franz Ganser|https://guide.michelin.com//de/de/schleswig-holstein/westerland/restaurant/franz-ganser|Westerland|Klassische Küche|54.9062062|8.3048591
Row29|0|https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/b7dcce0a-9259-467b-81b0-4818e34d097c.jpg?width=500&amp;sharp=1|ParkRestaurant|https://guide.michelin.com//de/de/nordrhein-westfalen/gutersloh/restaurant/parkrestaurant|Gütersloh|International, International|51.9050152|8.3811546
